Aruba,ABW,105845,,Region names are case sensitive:
Afghanistan,AFG,37172386,,Afghanistan
Angola,AGO,30809762,,Albania
Albania,ALB,2866376,,Algeria
Andorra,AND,77006,,Andorra
Arab World,ARB,419790588,,Angola
United Arab Emirates,ARE,9630959,,Antigua and Barbuda
Argentina,ARG,44494502,,Argentina
Armenia,ARM,2951776,,Armenia
American Samoa,ASM,55465,,Australian Capital Territory
Antigua and Barbuda,ATG,96286,,New South Wales
Australia,AUS,24992369,,Northern Territory
Austria,AUT,8847037,,Queensland
Azerbaijan,AZE,9942334,,South Australia
Burundi,BDI,11175378,,Tasmania
Belgium,BEL,11422068,,Victoria
Benin,BEN,11485048,,Western Australia
Burkina Faso,BFA,19751535,,Australia
Bangladesh,BGD,161356039,,Austria
Bulgaria,BGR,7024216,,Azerbaijan
Bahrain,BHR,1569439,,Bahamas
"Bahamas, The",BHS,385640,,Bahrain
Bosnia and Herzegovina,BIH,3323929,,Bangladesh
Belarus,BLR,9485386,,Barbados
Belize,BLZ,383071,,Belarus
Bermuda,BMU,63968,,Belgium
Bolivia,BOL,11353142,,Benin
Brazil,BRA,209469333,,Bhutan
Barbados,BRB,286641,,Bolivia
Brunei Darussalam,BRN,428962,,Bosnia and Herzegovina
Bhutan,BTN,754394,,Brazil
Botswana,BWA,2254126,,Brunei
Central African Republic,CAF,4666377,,Bulgaria
Canada,CAN,37058856,,Burkina Faso
Central Europe and the Baltics,CEB,102511922,,Cabo Verde
Switzerland,CHE,8516543,,Cambodia
Channel Islands,CHI,170499,,Cameroon
Chile,CHL,18729160,,Alberta
China,CHN,1392730000,,British Columbia
Cote d'Ivoire,CIV,25069229,,Grand Princess
Cameroon,CMR,25216237,,Manitoba
"Congo, Dem. Rep.",COD,84068091,,New Brunswick
"Congo, Rep.",COG,5244363,,Newfoundland and Labrador
Colombia,COL,49648685,,Nova Scotia
Comoros,COM,832322,,Ontario
Cabo Verde,CPV,543767,,Prince Edward Island
Costa Rica,CRI,4999441,,Quebec
Caribbean small states,CSS,7358965,,Saskatchewan
Cuba,CUB,11338138,,Canada
Curacao,CUW,159849,,Central African Republic
Cayman Islands,CYM,64174,,Chad
Cyprus,CYP,1189265,,Chile
Czechia,CZE,10625695,,Anhui
Germany,DEU,82927922,,Beijing
Djibouti,DJI,958920,,Chongqing
Dominica,DMA,71625,,Fujian
Denmark,DNK,5797446,,Gansu
Dominican Republic,DOM,10627165,,Guangdong
Algeria,DZA,42228429,,Guangxi
East Asia & Pacific (excluding high income),EAP,2081651801,,Guizhou
Early-demographic dividend,EAR,3249140605,,Hainan
East Asia & Pacific,EAS,2328220870,,Hebei
Europe & Central Asia (excluding high income),ECA,417797257,,Heilongjiang
Europe & Central Asia,ECS,918793590,,Henan
Ecuador,ECU,17084357,,Hong Kong
"Egypt, Arab Rep.",EGY,98423595,,Hubei
Euro area,EMU,341783171,,Hunan
Eritrea,ERI,,,Inner Mongolia
Spain,ESP,46723749,,Jiangsu
Estonia,EST,1320884,,Jiangxi
Ethiopia,ETH,109224559,,Jilin
European Union,EUU,513213363,,Liaoning
Fragile and conflict affected situations,FCS,515215936,,Macau
Finland,FIN,5518050,,Ningxia
Fiji,FJI,883483,,Qinghai
France,FRA,66987244,,Shaanxi
Faroe Islands,FRO,48497,,Shandong
"Micronesia, Fed. Sts.",FSM,112640,,Shanghai
Gabon,GAB,2119275,,Shanxi
United Kingdom,GBR,66488991,,Sichuan
Georgia,GEO,3731000,,Tianjin
Ghana,GHA,29767108,,Tibet
Gibraltar,GIB,33718,,Xinjiang
Guinea,GIN,12414318,,Yunnan
"Gambia, The",GMB,2280102,,Zhejiang
Guinea-Bissau,GNB,1874309,,China
Equatorial Guinea,GNQ,1308974,,Colombia
Greece,GRC,10727668,,Congo (Brazzaville)
Grenada,GRD,111454,,Congo (Kinshasa)
Greenland,GRL,56025,,Costa Rica
Guatemala,GTM,17247807,,Cote d'Ivoire
Guam,GUM,165768,,Croatia
Guyana,GUY,779004,,Diamond Princess
High income,HIC,1210312147,,Cuba
"Hong Kong SAR, China",HKG,7451000,,Cyprus
Honduras,HND,9587522,,Czechia
Heavily indebted poor countries (HIPC),HPC,780234406,,Faroe Islands
Croatia,HRV,4089400,,Greenland
Haiti,HTI,11123176,,Denmark
Hungary,HUN,9768785,,Djibouti
IBRD only,IBD,4772284113,,Dominican Republic
IDA & IBRD total,IBT,6412522234,,Ecuador
IDA total,IDA,1640238121,,Egypt
IDA blend,IDB,555830605,,El Salvador
Indonesia,IDN,267663435,,Equatorial Guinea
IDA only,IDX,1084407516,,Eritrea
Isle of Man,IMN,84077,,Estonia
India,IND,1352617328,,Eswatini
Not classified,INX,,,Ethiopia
Ireland,IRL,4853506,,Fiji
Iran,IRN,81800269,,Finland
Iraq,IRQ,38433600,,French Guiana
Iceland,ISL,353574,,French Polynesia
Israel,ISR,8883800,,Guadeloupe
Italy,ITA,60431283,,Mayotte
Jamaica,JAM,2934855,,New Caledonia
Jordan,JOR,9956011,,Reunion
Japan,JPN,126529100,,Saint Barthelemy
Kazakhstan,KAZ,18276499,,St Martin
Kenya,KEN,51393010,,Martinique
Kyrgyz Republic,KGZ,6315800,,France
Cambodia,KHM,16249798,,Gabon
Kiribati,KIR,115847,,Gambia
St. Kitts and Nevis,KNA,52441,,Georgia
"Korea, South",KOR,51635256,,Germany
Kuwait,KWT,4137309,,Ghana
Latin America & Caribbean (excluding high income),LAC,609013934,,Greece
Lao PDR,LAO,7061507,,Guatemala
Lebanon,LBN,6848925,,Guinea
Liberia,LBR,4818977,,Guyana
Libya,LBY,6678567,,Haiti
St. Lucia,LCA,181889,,Holy See
Latin America & Caribbean,LCN,641357515,,Honduras
Least developed countries: UN classification,LDC,1009662578,,Hungary
Low income,LIC,705417321,,Iceland
Liechtenstein,LIE,37910,,India
Sri Lanka,LKA,21670000,,Indonesia
Lower middle income,LMC,3022905169,,Iran
Low & middle income,LMY,6383958209,,Iraq
Lesotho,LSO,2108132,,Ireland
Late-demographic dividend,LTE,2288665963,,Israel
Lithuania,LTU,2789533,,Italy
Luxembourg,LUX,607728,,Jamaica
Latvia,LVA,1926542,,Japan
"Macao SAR, China",MAC,631636,,Jordan
St Martin,MAF,37264,,Kazakhstan
Morocco,MAR,36029138,,Kenya
Monaco,MCO,38682,,"Korea, South"
Moldova,MDA,3545883,,Kuwait
Madagascar,MDG,26262368,,Kyrgyzstan
Maldives,MDV,515696,,Latvia
Middle East & North Africa,MEA,448912859,,Lebanon
Mexico,MEX,126190788,,Liberia
Marshall Islands,MHL,58413,,Liechtenstein
Middle income,MIC,5678540888,,Lithuania
North Macedonia,MKD,2082958,,Luxembourg
Mali,MLI,19077690,,Madagascar
Malta,MLT,483530,,Malaysia
Myanmar,MMR,53708395,,Maldives
Middle East & North Africa (excluding high income),MNA,382896715,,Malta
Montenegro,MNE,622345,,Mauritania
Mongolia,MNG,3170208,,Mauritius
Northern Mariana Islands,MNP,56882,,Mexico
Mozambique,MOZ,29495962,,Moldova
Mauritania,MRT,4403319,,Monaco
Mauritius,MUS,1265303,,Mongolia
Malawi,MWI,18143315,,Montenegro
Malaysia,MYS,31528585,,Morocco
North America,NAC,364290258,,Namibia
Namibia,NAM,2448255,,Nepal
New Caledonia,NCL,284060,,Aruba
Niger,NER,22442948,,Curacao
Nigeria,NGA,195874740,,Sint Maarten
Nicaragua,NIC,6465513,,Netherlands
Netherlands,NLD,17231017,,New Zealand
Norway,NOR,5314336,,Nicaragua
Nepal,NPL,28087871,,Niger
Nauru,NRU,12704,,Nigeria
New Zealand,NZL,4885500,,North Macedonia
OECD members,OED,1303529456,,Norway
Oman,OMN,4829483,,Oman
Other small states,OSS,30758989,,Pakistan
Pakistan,PAK,212215030,,Panama
Panama,PAN,4176873,,Papua New Guinea
Peru,PER,31989256,,Paraguay
Philippines,PHL,106651922,,Peru
Palau,PLW,17907,,Philippines
Papua New Guinea,PNG,8606316,,Poland
Poland,POL,37978548,,Portugal
Pre-demographic dividend,PRE,919485393,,Qatar
Puerto Rico,PRI,3195153,,Romania
"Korea, Dem. People’s Rep.",PRK,25549819,,Russia
Portugal,PRT,10281762,,Rwanda
Paraguay,PRY,6956071,,Saint Lucia
West Bank and Gaza,PSE,4569087,,Saint Vincent and the Grenadines
Pacific island small states,PSS,2457367,,San Marino
Post-demographic dividend,PST,1109997273,,Saudi Arabia
French Polynesia,PYF,277679,,Senegal
Qatar,QAT,2781677,,Serbia
Romania,ROU,19473936,,Seychelles
Russian Federation,RUS,144478050,,Singapore
Rwanda,RWA,12301939,,Slovakia
South Asia,SAS,1814388744,,Slovenia
Saudi Arabia,SAU,33699947,,Somalia
Sudan,SDN,41801533,,South Africa
Senegal,SEN,15854360,,Spain
Singapore,SGP,5638676,,Sri Lanka
Solomon Islands,SLB,652858,,Sudan
Sierra Leone,SLE,7650154,,Suriname
El Salvador,SLV,6420744,,Sweden
San Marino,SMR,33785,,Switzerland
Somalia,SOM,15008154,,Taiwan*
Serbia,SRB,6982084,,Tanzania
Sub-Saharan Africa (excluding high income),SSA,1078209758,,Thailand
South Sudan,SSD,10975920,,Togo
Sub-Saharan Africa,SSF,1078306520,,Trinidad and Tobago
Small states,SST,40575321,,Tunisia
Sao Tome and Principe,STP,211028,,Turkey
Suriname,SUR,575991,,Uganda
Slovak Republic,SVK,5447011,,Ukraine
Slovenia,SVN,2067372,,United Arab Emirates
Sweden,SWE,10183175,,Bermuda
Eswatini,SWZ,1136191,,Cayman Islands
Sint Maarten,SXM,40654,,Channel Islands
Seychelles,SYC,96762,,Gibraltar
Syria,SYR,16906283,,Isle of Man
Turks and Caicos Islands,TCA,37665,,Montserrat
Chad,TCD,15477751,,United Kingdom
East Asia & Pacific (IDA & IBRD countries),TEA,2056064424,,Uruguay
Europe & Central Asia (IDA & IBRD countries),TEC,459865205,,US
Togo,TGO,7889094,,Uzbekistan
Thailand,THA,69428524,,Venezuela
Tajikistan,TJK,9100837,,Vietnam
Turkmenistan,TKM,5850908,,Zimbabwe
Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713,,Zambia
Timor-Leste,TLS,1267972,,Diamond Princess
Middle East & North Africa (IDA & IBRD countries),TMN,378327628,,Dominica
Tonga,TON,103197,,Grenada
South Asia (IDA & IBRD),TSA,1814388744,,Mozambique
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520,,Syria
Trinidad and Tobago,TTO,1389858,,Timor-Leste
Tunisia,TUN,11565204,,Belize
Turkey,TUR,82319724,,
Tuvalu,TUV,11508,,
Tanzania,TZA,56318348,,
Uganda,UGA,42723139,,
Ukraine,UKR,44622516,,
Upper middle income,UMC,2655635719,,
Uruguay,URY,3449299,,
US,USA,327167434,,
Uzbekistan,UZB,32955400,,
St. Vincent and the Grenadines,VCT,110210,,
"Venezuela, RB",VEN,28870195,,
British Virgin Islands,VGB,29802,,
Virgin Islands (U.S.),VIR,106977,,
Vietnam,VNM,95540395,,
Vanuatu,VUT,292680,,
World,WLD,7594270356,,
Samoa,WSM,196130,,
Kosovo,XKX,1845300,,
"Yemen, Rep.",YEM,28498687,,
South Africa,ZAF,57779622,,
Zambia,ZMB,17351822,,
Zimbabwe,ZWE,14439018,,
Hubei,,1008000,,
Taiwan*,,23780000,,
